Job id,Model,Sample rate,init noise,Dataset rows,Unique rows,Handle Dups,Best fitness,Mean best fitness,Comments
7854323,Ridge(alpha=2),0.8,0.1,,,ignore,-4491.0,,
7854324,Ridge(alpha=2),0.8,0.1,,,ignore,-3798.0,,
8607423,Ridge(alpha=2),0.8,0.1,,5990.0,ignore,,,
8607424,Ridge(alpha=2),0.8,0.1,,5783.0,ignore,,,
8607425,Ridge(alpha=2),0.8,0.1,,5918.0,ignore,,,
8987345,Ridge(alpha=2),0.8,0.25,30920.0,5681.0,ignore,-6948.0,-6113,
8987373,Ridge(alpha=2),0.8,0.25,31080.0,6005.0,ignore,-5278.0,,
7854325,Ridge(alpha=2),0.9,0.1,,,ignore,-4276.0,-4067,
7854326,Ridge(alpha=2),0.9,0.1,,,ignore,-4044.0,,
7854327,Ridge(alpha=2),0.9,0.1,,,ignore,-3881.0,,
8607426,Ridge(alpha=2),0.9,0.1,,6711.0,ignore,,,
8607427,Ridge(alpha=2),0.9,0.1,,6347.0,ignore,,,
8607428,Ridge(alpha=2),0.9,0.1,,6236.0,ignore,,,
8987393,Ridge(alpha=2),0.9,0.25,34660.0,6548.0,ignore,-5288.0,-5372,
8987394,Ridge(alpha=2),0.9,0.25,35200.0,6605.0,ignore,-5456.0,,
7854446,Ridge(alpha=2),1.0,0.1,,,ignore,-4203.0,-4300.333333,
7854448,Ridge(alpha=2),1.0,0.1,,,ignore,-4574.0,,
7854464,Ridge(alpha=2),1.0,0.1,,,ignore,-4124.0,,
8607429,Ridge(alpha=2),1.0,0.1,,6988.0,ignore,,,
8607430,Ridge(alpha=2),1.0,0.1,,7307.0,ignore,,,
8607431,Ridge(alpha=2),1.0,0.1,39000.0,7019.0,ignore,,,
8987395,Ridge(alpha=2),1.0,0.25,38400.0,7345.0,ignore,-5491.0,-5376.5,
8987423,Ridge(alpha=2),1.0,0.25,38800.0,7052.0,ignore,-5262.0,,
