,blackjack,Frozen Lake
0,-9589.0,0.0
1,-8930.0,0.0
2,-9153.0,0.0
3,-9311.0,0.0
4,-8285.0,0.0
5,-8622.0,0.0
6,-8652.0,0.0
7,-8786.0,0.0
8,-9067.0,0.0
9,-9083.0,0.0
10,-8409.0,0.0
11,-8901.0,0.0
12,-8454.0,0.0
13,-7882.0,0.0
14,-8191.0,0.0
15,-9170.0,0.0
16,-9560.0,0.0
17,-9166.0,0.0
18,-8810.0,0.0
19,-8366.0,0.0
20,-8874.0,0.0
21,-8922.0,0.0
22,-8748.0,0.0
23,-8870.0,0.0
24,-9000.0,0.0
25,-8356.0,0.0
26,-9129.0,0.0
27,-8770.0,0.0
28,-8807.0,0.0
29,-8710.0,0.0
